,codigo_do_municipio,ano,proficiencia_media_matematica
0,2600054,2008,166.2258064516129
1,2600054,2009,167.25151515151515
2,2600054,2010,169.1375
3,2600054,2011,177.6483870967742
4,2600054,2012,176.57407407407408
5,2600054,2013,178.9
6,2600054,2014,181.42
7,2600054,2015,182.7185185185185
8,2600054,2016,184.08928571428572
9,2600054,2017,186.03846153846155
10,2600054,2018,194.35416666666666
11,2600104,2008,169.676
12,2600104,2009,178.46400000000003
13,2600104,2010,165.79333333333335
14,2600104,2011,193.1
15,2600104,2012,196.9578947368421
16,2600104,2013,200.305
17,2600104,2014,196.66500000000002
18,2600104,2015,216.75
19,2600104,2016,219.9578947368421
20,2600104,2017,215.61052631578949
21,2600104,2018,211.75
22,2600203,2008,171.25357142857143
23,2600203,2009,180.14642857142857
24,2600203,2010,179.72857142857143
25,2600203,2011,186.44
26,2600203,2012,179.45294117647057
27,2600203,2013,191.15
28,2600203,2014,189.4888888888889
29,2600203,2015,187.97368421052633
30,2600203,2016,184.10555555555555
31,2600203,2017,187.3692307692308
32,2600203,2018,196.2875
33,2600302,2008,155.23684210526315
34,2600302,2009,172.32
35,2600302,2010,170.13636363636363
36,2600302,2011,179.59333333333333
37,2600302,2012,184.56153846153848
38,2600302,2013,184.13846153846154
39,2600302,2014,179.22
40,2600302,2015,194.06923076923078
41,2600302,2016,181.50714285714284
42,2600302,2017,197.60833333333335
43,2600302,2018,207.54285714285714
44,2600401,2008,164.75714285714287
45,2600401,2009,181.35142857142858
46,2600401,2010,187.94193548387096
47,2600401,2011,193.7173913043478
48,2600401,2012,197.62857142857143
49,2600401,2013,180.66500000000002
50,2600401,2014,169.66538461538462
51,2600401,2015,184.08695652173913
52,2600401,2016,174.425
53,2600401,2017,180.54999999999998
54,2600401,2018,180.7
55,2600500,2008,156.26129032258066
56,2600500,2009,162.59722222222223
57,2600500,2010,173.4125
58,2600500,2011,196.0108108108108
59,2600500,2012,195.08235294117648
60,2600500,2013,168.43599999999998
61,2600500,2014,166.27142857142857
62,2600500,2015,197.64666666666665
63,2600500,2016,199.32941176470587
